"PCN Number","Publish Date","PCN Title","Key Characteristics",4M,"Product Categories",Abstract
107616-00,2007/06/17,"Intel Media Switch GCIXE5216EC.C0, MM#856521 and GCIXE5416EC.C0, MM#856474 (Ukiah), PCN 107616-00, Product Marking, Replace Intel Drop e Logo Marking with the new Intel Text Marking","Product Marking","Machine, Method","Networking Products","Networking Products, Product Marking, Intel anticipates no impact to customers, see PCN detail for further information."
106245-02,2007/06/13,"Intel(R) TXN1322x Small Form Factor 10Gbps Optical Transceiver, PCN 106245-02, Manufacturing Site, Assembly Site Change to Thailand, Reason for Revision: Add TXN132201013DC1 SKU to Products Affected table","Manufacturing Site","Machine, Man","Networking Products","Networking Products, Manufacturing Site, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107647-00,2007/06/13,"Intel(R) PRO/Wireless 3945ABG Network Connection  Skus: WM3945AGJPGEN (MM# 874740) and WM3945AGBGXGEN (MM# 878806), PCN 107647-00, Label, Product Label change to update JP DSPR #, Regulatory Markings",Label,"Machine, Material","Networking Products","Networking Products, Label, Regulatory Requirements."
107646-00,2007/06/13,"Intel(R) PRO/Wireless 3945ABG Network Connection  Skus: WM3945AGJPWB (MM# 878738), PCN 107646-00, Product Design, Product Design change to Implement JP mid-band Functionality/Update DSPR ID","Product Design","Material, Method","Networking Products","Networking Products, Product Design, Regulatory Requirements."
107637-00,2007/06/12,"LAD865GVIPL, PCN 107637-00, Product Discontinuance, Product Discontinuance Notification for CPC","Product Discontinuance",,"Desktop Boards","Desktop Boards, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107628-00,2007/06/12,"Intel Netstructure(R) MPCBL0020 Single Board Computer, PCN 107628-00, Product Design, Improved UL Clearance and Creepage with additional insulator","Product Design","Material, Method","Telecom and Compute","Telecom and Compute, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107540-01,2007/06/12,"SR2500 Based Systems, PCN 107540-01, Product Design, Class 2, Redundant Fan Cage Isolation, Reason for Revision: Changing affected product list and updating TA number","Product Design","Material, Method","Server Chassis","Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107624-01,2007/06/12,"Intel(R) Wireless WiFi Link 4965AGN Skus: 4965AGNMM1GN, JPGN, M1WB, JPWB; 4965AG_MM1GN, MRWGN, MJPGN (MM#s 886224, 886437, 886704, 886732, 886449, 886451, 886461), PCN 107624-01, Label, Product Label update to JP DSPR #, add Regulatory Markings, Reason fo",Label,"Machine, Material","Networking Products","Networking Products, Label, Regulatory Requirements."
107475-01,2007/06/11,"S5000PSL, S5000XSL, S5000XVN, PCN 107475-01, Product Design, Hardware & Software Updates, Reason for Revision: Updating Schedule and SW revision changes","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107549-00,2007/06/11,"Intel NetStructure(R) MPCBL0040S01Q Single Board Computer, PCN 107549-00, Product Discontinuance","Product Discontinuance",,"Telecom and Compute","Telecom and Compute, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107636-00,2007/06/11,"Intel(R) Remote Managment Module, PCN 107636-00, Product Discontinuance, Product Discontinuance Announcement","Product Discontinuance",,"Server Boards and Platforms","Server Boards and Platforms, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107620-01,2007/06/11,"Desktop Intel(R) Celeron(R) D Processors 365, 360, 356 and 347, PCN 107620-01, Product Discontinuance, Tray and Boxed Product Discontinuance, Reason for Revision: Adjust forecasted milestones.","Product Discontinuance",,"Desktop Processors","Desktop Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107621-00,2007/06/11,"Intel(R) 1Gbps Small Form Factor Optical Transceiver, PCN 107621-00, Product Material, TXN2212000, TXN2202000, Receiver Optical Sub-Assembly (ROSA)","Product Material",Material,"Networking Products","Networking Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107534-01,2007/06/11,"SR9000MK4U, PCN 107534-01, Product Design, Class 2, Chassis enhancements and New Power Supply Label, Reason for Revision: Add New PS label","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107632-00,2007/06/08,"Intel Desktop Board DG965MS (Marble Springs), D945GCZ (Cortez) and D945GCL (Coryville), PCN 107632-00, Product Discontinuance","Product Discontinuance",,"Desktop Boards","Desktop Boards, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107171-02,2007/06/08,"SR2520SA, PCN 107171-02, Product Design, Class 1, Board PBA Change, BIOS/BMC/FRUSDR Update, SIO and LSI 1064E SAS Controller Stepping Change, and CDA update., Reason for Revision: SIO A4 Part and LSI SAS1064E B2 Stepping added Back in along with CDA and S","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107494-01,2007/06/07,"LAD945GCZCS, PCN 107494-01, Product Material, Update TPM and SIO, Reason for Revision: Add SIO rev D change","Product Material",Material,"Desktop Boards","Desktop Boards, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107614-00,2007/06/06,"Intel(R) Pentium(R) Processors with MMX(TM) Technology, PCN 107614-00, Product Material, Substrate Consolidation","Product Material",Material,"Embedded Processors","Embedded Processors, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107610-00,2007/06/04,"Intel NetStructure (R) MPCHC0001 14U Chassis, PCN 107610-00, Label, Removed CE Mark from the Chassis Safety Label",Label,"Machine, Material","Server Chassis, Telecom and Compute","Server Chassis, Telecom and Compute, Label, Regulatory Requirements."
107467-00,2007/06/04,"Dual-Core Intel(R) Xeon(R) 5100 Series Processors (Woodcrest) and Quad-Core Intel(R) Xeon(R) 5300 Series Processors (Clovertown), PCN 107467-00, Product Design, B2/3 to G0 Stepping Change","Product Design","Material, Method","Server Processors","Server Processors, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107615-00,2007/06/04,"D201GLY, PCN 107615-00, Product Design, Adding alternate parts and BIOS update","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107609-00,2007/05/31,"Intel(R) Wireless WiFi Link 4965AGN Skus: 4965AGNMM2GN (MM# 886220, 886734), PCN 107609-00, Label, Addition of Brazil regulatory marking to the MOW2 SKUs",Label,"Machine, Material","Networking Products","Networking Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
107603-00,2007/05/30,"Intel NetStructure (R) MPCHC0001Q 14U Chassis, MPPEM0001Q Spare, MPFAN0001Q Spare, PCN 107603-00, Product Design, Changed SRAM due to EOL, FET Change due to RoHS SLI Requirement, and Firmware Update.","Product Design","Material, Method","Server Boards and Platforms, Server Chassis, Telecom and Compute","Server Boards and Platforms, Server Chassis, Telecom and Compute, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107576-00,2007/05/29,"Intel(R) Celeron(R) M Processor Ultra Low Voltage 423, PCN 107576-00, Product Design, and Order Code C-0 to D-0 Stepping Conversion","Product Design","Material, Method","Mobile Processors","Mobile Processors, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107608-00,2007/05/29,"SR1530CL, PCN 107608-00, Product Design, class 2; Front Panel Board Change","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107462-03,2007/05/29,"LADQ963GSK, PCN 107462-03, Product Material, Add Alternate Component, BIOS update","Product Material",Material,"Chipsets - Desktop","Chipsets - Desktop, Product Material, Customers to place future orders using new order code, see details in PCN."
107502-02,2007/05/29,"SR1530CL; SR1530HCL; SR153HCLS, PCN 107502-02, Product Material, Class 2; System Board Update, Reason for Revision: TA Revision change","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107481-01,2007/05/27,"DQ965GF, PCN 107481-01, Product Design, Overall product manufacturability improvement, Reason for Revision: Update schedule, remove BIOS, correct AA#s","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
